Concept_ID	Concepts_and_Synonyms
C4020895_T190	genitourinary dysplasia
M00003674_T047;M00003674_T033	nephrocalcinosis
M00004713_T019;M00004713_T033	unilateral renal agenesis|missing one kidney|Congenital Single Kidney|Congenital Solitary Kidney|Kidney, Single|Kidneys, Single|kidneys solitary|renal agenesis unilateral|Renal agenesis, unilateral|Single Functioning Kidney|Single Functioning Kidneys|single kidney|Single Kidneys|Solitary Functioning Kidney|solitary kidney|Unilateral agenesis of kidney|unilateral kidney agenesis
M00003672_T047	nephritis|nephritis|kidney inflammation|Nephritides
C0151747_T047	renal tubular dysfunction|NEPHROPATHY TUBULAR|renal tubular disease|renal tubular disorder|TUBULAR
D00000014_T777	renal tubular function
C0268709_T047	renal tubular defect
C0221209_T019	pelvic kidney|Congenital pelvic kidney|kidney pelvic|KIDNEY, PELVIC|kidneys pelvic
M00002683_T047;M00002683_T033	hydronephrosis
C1846347_T033	renal salt wasting|renal salt-wasting|salt wasting|salt-wasting
C1846348_T033	renal potassium wasting
M00001453_T019	abnormality of the uterus|abnormalities uterine|abnormal uterus|anomalies uterine|Anomalous uterus|congenital uterine abnormalities|Congenital uterine abnormality|Congenital uterine anomaly|uterine abnormalities|uterine abnormality|Uterine Anomalies|uterine anomaly|uterine malformations|uterus abnormal|uterus anomalies
M00002256_T191	uterine leiomyoma|benign uterine leiomyomas|fibroids|Fibroids, Uterine|Fibroid, Uterine|Fibroid uterus|fibroleiomyoma|fibromyoma|leiomyofibroma|leiomyoma|Leiomyoma of the Uterine Corpus|leiomyoma of uterus|leiomyomas|Leiomyoma, Uterine|myofibroma|UL|Uterine Corpus Leiomyoma|uterine fibroid|uterine fibroids|uterine fibroma|uterine fibromas|uterine fibromyoma|Uterine leiomyoma - fibroids|Uterine leiomyomas, benign|Uterine leiomyomas|uterine leiomyomata|uterine myoma|uterus fibroid|Uterus, Fibroid|uterus fibroids|UTERUS, FIBROIDS|uterus fibroma|uterus leiomyoma|UTERUS, LEIOMYOMA|uterus myoma|UTERUS, MYOMA
M00002100_T046	menorrhagia|hypermenorrhea|EXCESSIVE MENSES|excessive menstrual flow|excessive menstruation|heavy menstrual bleeding|heavy menstrual periods|heavy period|heavy periods|hypermenorrhoea|Menstruation excessive
M00003760_T033	menorrhea|menorrhea|menorrhea|menorrhea|Catamenia|Menorrhoea|Menses|menses normal|Menstrual flow|normal menses|normal menstruation|normal period|normal periods|period normal|periods normal
M00000017_T047;M00000017_T019;M00000017_T049	gonadal dysgenesis|45,X Gonadal Dysgenesis|45, X syndrome|bonnevie-ullrich syndrome|gonadal dysgenesis syndrome|Karyotype 45, X|Monosomy X|turners syndrome|Turner syndrome|Ullrich Turner Syndrome|Ullrich-Turner Syndrome|xo syndrome|premature ovarian insufficiency|climacterium praecox|early menopause|menopause early|menopause premature|Menopause - premature|Menopause, Premature|precocious menopause|premature menopause
D00000015_T777	gonad dysgenesis|pure gonad dysgenesis
C0018055_T047	mixed gonadal dysgenesis|45,X/46,XY Gonadal Dysgenesis|45,X/46,XY Mixed Gonadal Dysgenesis|45, X/46, XY mosaicism|Mosaicism 45, X; 46, XY
C0687149_T019	pure gonadal dysgenesis
C0271578_T047	female hypogonadism|females hypogonadism|hypogonadism, female|HYPOGONADISM FEMALE
D00000016_T777	hypogonad
C1850327_T033	bifid uterus
C0029928_T047	ovarian disease|disease ovarian|Disease, Ovarian|disease ovaries|disease ovary|Diseases, Ovarian|DISORDER OVARIAN|ovarian diseases|ovarian disorder|ovarian disorders|Ovary|ovary disease|ovary disorders
M00000674_T047	ovarian cyst|cystic ovarian mass|cystic ovaries|cystic ovaries|cystic ovary|cyst of ovary|Cyst of the Ovary|Cyst, Ovarian|Cysts, Ovarian|ovarian cystic mass|ovarian cysts|Ovaries--Cysts|ovary cyst|ovary cystic
D00000017_T777	cyst ovaries
M00005188_T190;M00005188_T020	uterine prolapse
C3549779_T033	menstrual abnormalities|menstrual abnormality
C0002453_T047	amenorrhea|absence of menstruation|amenia|amenorrhoea|cessation of menses|lack of menses
C1856023_T033	vaginal malformation
M00004469_T190;M00004469_T033	rectovaginal fistula
C0520927_T033	decreased fertility|abnormal fertility
C0577275_T033	normal fertility
C1856006_T033	transverse vaginal septum
M00004270_T047;M00004270_T033	polycystic ovaries|HYPERTHECOSIS, OVARIAN|multicystic ovaries|ovarian hyperthecosis|ovarian polycystic disease|Ovarian Syndrome, Polycystic|ovaries polycystic|ovary polycystic|Ovary Syndrome, Polycystic|PCO1|PCO|PCO - Polycystic ovaries|PCOS|PCOS - Polycystic ovarian syndrome|polycystic ovarian disease|polycystic ovarian syndrome|polycystic ovary|polycystic ovary disease|Polycystic Ovary Syndrome 1|polycystic ovary syndrome|stein leventhal syndrome|stein-leventhal syndrome|Stein - Leventhal syndrome|Syndrome, Polycystic Ovary
C1136382_T047	sclerocystic ovaries
C1321884_T019	vaginal atresia|Atresia of vagina|atresia vaginal|congenital absence of the vagina
C1518716_T191	ovarian gonadoblastoma
C0206661_T191	gonadoblastoma|GBY|GBY - Gonadoblastoma|gonadoblastomas|Gonocytoma
M00005185_T019;M00005185_T033	aplasia of the uterus|absent uterus|UTERINE ABSENCE|uterus absent
C4021817_T190	head and neck abnormality
C0026633_T019	abnormal mouth|Mouth Abnormalities|Mouth--Abnormalities
C0426486_T033	normal mouth|Mouth normal|Oral cavity normal
C0024433_T019	wide mouth|broad mouth|Congenital macrostomia|large mouth|macrostomia
C0149745_T047	oral ulcer|mouth sore|mouth ulceration|mouth ulcerations|mouth ulcer|mouth ulcers|Mouth--Ulcers|oral sores|oral ulceration|oral ulcerations|oral ulcers|Ulceration of oral mucosa|Ulcer, Oral|Ulcers, Mouth|Ulcers, Oral
M00000061_T019;M00000061_T033;M00000061_T020	abnormal tongue|tongue abnormal
C0576974_T033	normal tongue
M00002028_T019;M00002028_T047;M00002028_T033	macroglossia|macroglossia|hyperplasia of the tongue|enlarged tongue|Enlargement of tongue|hypertrophy of the tongue|Hypertrophy of tongue|large tongue|large tongues|lingual hyperplasia|lingual hypertrophy|Tongue Enlarged|tongue enlargement|tongue hypertrophy
C2183966_T190	abnormal lip|deformity of lip|malformation of lip
M00003506_T019;M00003506_T033	narrow mouth|microstomia|small mouth|small oral aperture
C1850256_T019	median cleft lip|midline cleft lip
M00002435_T047;M00002435_T033	glossoptosis|lingual retraction|retraction of the tongue
C4280678_T033	posterior displacement of the tongue
M00000060_T190;M00000060_T033	abnormal dentition|abnormalities dental|abnormality of the teeth|abnormal teeth|dental abnormalities|dental abnormality|dental anomalies|tooth abnormalities|abnormally shaped teeth|Abnormalities, Teeth|dental deformity|dental malformations|irregular teeth|malformation of teeth|MALFORMATION TOOTH|malformed teeth|misshapen teeth|teeth abnormalities|Teeth--Abnormalities|Teeth Abnormality|tooth abnormality|TOOTH DEFORMITY|tooth malformation|irregular dentition
C4229134_T033	normal dentition
C0426482_T033	normal teeth|Sound tooth|Tooth normal
C0576962_T033	dental problem|dental problems|problems tooth|tooth problem
C4025886_T047	severe periodontitis|severe gum disease|severe periodontal disease
C0016049_T190	gingival fibromatosis|Fibromatosis, Gingival|gingival fibroma|Gingival Fibromatoses
C0399440_T047	hereditary gingival fibromatosis|GINGF|HGF
C4280677_T033	idiopathic gingival hyperplasia
M00003501_T019;M00003501_T033	microglossia|hypoglossia|hypoplasia of the tongue|hypoplastic tongue|lingual hypoplasia|rudimentary tongue|small tongue
C4021815_T190	abnormality of the palate|palate abnormality
M00004038_T019;M00004038_T033	cleft palate|cleft hard and soft palate|cleft of hard and soft palate|cleft of palate|Cleft of secondary palate|palatoschisis|cp|Cleft palate, isolated|CPI
M00004931_T019;M00004931_T033	submucosal cleft palate|Submucous cleft palate
C4020894_T033	submucous clefting
C4025884_T190	deformity of the upper lip
C4025883_T190	deformity of the lower lip
C2053437_T033	full lower lip
C1839739_T033	prominent lower lip|thick lower lip
M00003154_T019;M00003154_T033	lobulated tongue
M00001261_T019;M00001261_T033	cleft soft palate|cleft of soft palate|cleft velum|soft cleft palate
C1857500_T033	broad alveolar ridges
C1848977_T033	short upper lip
M00003629_T033	narrow palate
C1850258_T033	oral frenulum|Oral frenula
M00000693_T019;M00000693_T033	bifid uvula|cleft uvula|split uvula|uvula bifida|UVULA, CLEFT
C0240379_T033	open mouth|mouth open|mouth opening
C1861544_T033	lower lip pit|Lower lip pits
M00005059_T033	tongue nodules|lingual nodules|tongue nodule
C0426501_T033	short lingual frenulum|short lingual frenum|tight lingual frenulum
M00004218_T019;M00004218_T033	pierre-robin sequence|pierre robin sequence|Glossoptosis, Micrognathia, and Cleft Palate|pierre-robin anomaly|pierre robins syndrome|pierre robin syndrome|pierre-robin syndrome|PRBNS|robin sequence|Sequence, Robin|syndrome pierre robin|Syndrome, Pierre Robin|Syndrome, Pierre-Robin
C4021813_T019	oral cleft|oral clefting
M00001260_T019;M00001260_T033	cleft lip, cleft palate|Cheilopalatoschisis|Cleft lip and cleft palate|Cleft lip and palate|cleft lip palate|cleft lip/palate|Cleft palate and cleft lip|Cleft palate and lip|cleft palate lip|cleft palate with cleft lip|LIP AND PALATE CLEFT|lip cleft palate|palate cleft lip|with cleft lip palate
M00001259_T019;M00001259_T033;M00001259_T190	cleft upper lip|cheiloschisis|CL - Cleft lip|cleft lip|Cleft Lips|cleft of upper lip|hare lip|harelip|Harelips|Lip, Cleft|LIP CLEFT|Lips, Cleft|cleft of the lip
C1832130_T033	pursed lips
C0017675_T047	glossitis|lingual inflammation|tongue inflammation
M00005106_T033	triangular mouth|triangular shaped mouth
M00005117_T047;M00005117_T033	trismus
C4228933_T033	limited jaw mobility|limited jaw movement|limited mandibular mobility
M00003123_T033	limited jaw opening|limited mandibular opening|limited mouth opening
M00002425_T046;M00002425_T047;M00002425_T033	gingival overgrowth|gingival enlargement|Gingival Overgrowths|Overgrowth, Gingival|gingival hyperplasia|gingival hypertrophy|gum enlargement|gum hypertrophy
C1857697_T033	telangiectasia of the lips
M00002340_T033	prominent upper lip|thick upper lip
C0043352_T033	xerostomia|aptyalism|Asialia|Clinical xerostomia|decreased saliva|decreased salivary flow|dry mouth|dry mouth syndrome|dryness mouth|Dryness, Mouth|DRYNESS ORAL|hyposalivation|mouth dry|mouth dryness|ORAL DRYNESS|reduced salivation|SALIVA DECREASED|Salivary hyposecretion
M00002604_T019;M00002604_T033	high palate|elevated palate|high arched palate|high-arched palate|high, arched palate|high arch palate|PALATE, HIGH ARCHED|high, narrow palate|gothic palate|high narrow palate|high vaulted palate|narrow and high arched palate|narrow, high-arched palate|palate high-arched|palate, high-arched
M00005031_T033	thin upper lip vermilion|thin upper lip|thin upper lips|Thin vermilion of the upper lip
C0042454_T047	velopharyngeal insufficiency|Inadequate Velopharyngeal Closure|Incompetence, Velopharyngeal|Insufficiency, Velopharyngeal|Palatopharyngeal incompetence|Palatopharyngeal insufficiency|velopharyngeal inadequacy|velopharyngeal incompetence|VPI
C4280669_T033	velopharyngeal dysfunction
D00000018_T777	velopharyngeal function
M00002280_T047;M00002280_T019	furrowed tongue|fissured tongue|fissure tongue|lingua plicata|plicated tongue|scrotal tongue|tongue fissure|tongue fissured|Tongue, Fissured
D00000019_T777	keratosis, gingival
C0151934_T033	decreased taste sensation|Decreased sense of taste|decreased taste|hypogeusia|lost taste
C0017565_T046	gingival bleeding|bleeding gingival|bleeding gum|bleeding gums|Gingival haemorrhage|gingival hemorrhage|Gingival Hemorrhages|gingivorrhagia|gum bleed|gum bleeding|gums bleeding
M00002427_T047	gingivitis|Gingivitis (& [chronic])|gingival inflammation|gum inflammation|inflamed gums
C1853246_T033	drooping lower lip|everted lower lip
C1866234_T033	protruding lower lip
C0578038_T033	thin vermilion border|Lips thin|thin lips|thin vermilion borders|thin vermillion
C4021812_T190	abnormality of the head|abnormality of the head|abnormal head|head abnormality
D00000020_T777	normal head
C1859455_T033	small anterior fontanelle|small anterior fontanel
M00002682_T047;M00002682_T033;M00002682_T046	hydrocephalus|hydrocephaly
C0456132_T033	large fontanelles|enlarged fontanelle|enlarged fontanelles|large fontanel|large fontanelle|large fontanels|Wide fontanelle|wide fontanelles|Wide fontanels
C1857126_T033	parietal bossing|parietal bossing
M00005112_T019;M00005112_T033	trigonocephaly
C4280666_T019	triangular head shape
C1857484_T033	brachyturricephaly|turribrachycephaly
M00000159_T019;M00000159_T033	turricephaly|turricephaly|oxycephaly|acrocephaly|Elongated skull|High skull|Tower skull
M00004719_T047	sinusitis|acute sinus infection|acute sinusitis|sinusitis acute|Sinusitis (& acute)|sinus infection|Infection, Sinus|Infections, Sinus|Sinus Infections|sinus inflammation|Sinusitides|chronic sinusitis|chronic infection sinus|chronic rhinosinusitis|chronic sinus infection|sinus infection chronic|sinusitis chronic|sinusitis, chronic
M00004718_T190	cutaneous fistula|Cutaneous Fistulas|Dermal Fistula|external fistula|External Fistulas|fistula cutaneous|Fistula, Cutaneous|fistula external|Fistula, External|Fistulas, External|Fistula, Skin|Fistulas, Skin|skin fistula|Skin Fistulas|Skin sinus
C0030469_T047	sinus disease|disorders sinus|paranasal sinus disease|paranasal sinus diseases|sinus disorder
M00001269_T047;M00001269_T033;M00001269_T046	infection|INFECT|infections
C0021368_T046	inflammation|Inflammation, NOS|inflammations|Inflammatory reaction|INFLAMM
M00000836_T019;M00000836_T033	brachycephaly|broad skull|wide skull
M00003495_T019;M00003495_T033	microcephaly|abnormally small head|decreased head circumference|head small|heads small|reduced head circumference|small calvarium|small cranium|small head|small head|small head circumference|small skull
M00003497_T033	progressive microcephaly|microcephaly, progressive
D00000021_T777	acute sinus
M00000695_T047;M00000695_T033;M00000695_T019	macrocephaly|big head|increased head circumference|large cranium|large head|large head|large head circumference|macrocrania|large skull|megacephaly|macrencephaly|macrocephalus|macroencephaly|Megalencephalies|megalencephaly|megalencephaly|Megalocephaly
C0685896_T019	acephaly|acephalus
M00003051_T033	wide anterior fontanel|large anterior fontanel|large anterior fontanelle|Large anterior fontanelles|large anterior fontanels|wide anterior fontanelle
C0024904_T047	mastoiditis
C1860245_T033	cranial asymmetry|cranial vault asymmetry
D00000022_T777	cranial symmetry|symmetry of head|cranial vault symmetry
C4280258_T033	asymmetry of head
M00001845_T019;M00001845_T033	dolichocephaly
C4280655_T019	narrow head shape
